course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
WILLS TRUSTS ESTA,Lecture,PRLG,420N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Paralegal', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Political Science', '102L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,201
INFO SYS POLICY,Lecture,MSIS,730L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,205
COMMUNITY PSYCH,Lecture,PSYC,222L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,204
ST:SOCIAL&ECO SYSTEMS/ALASKA,Lecture,ENSC,293L,,,Science SI,School of Science SI,3,207
BASIC PRINTMAKING,Lecture,ART,207N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Art', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Art', '101N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,208
FORENSIC PSYCHOLOGY,Lorenzo di Medici,PSYC,225L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,210
MARKETING COMM,Lecture,BUS,440N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Business', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Business', '340N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,206
ANALYTICAL TOOLS,On Line Class,MBA,535N,,,MBA MB,MBA MB,3,213
"CIV LITIG, PRACT",Lecture,PRLG,422N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Paralegal', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Political Science', '102L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,209
SYSTEM DESIGN,Lecture,CMPT,330L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '230L', 'Undergraduate', 'D', '']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,211
ST:BIODIVERSITY&CONSERVATION,Lecture,ENSC,321L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '131L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Environmental Science', '101L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,3,212
ROMAN CIV-MONUMNTS,Marist Abroad,ART,208L,,,Communication and The Arts CO,School Communication Arts CO,3,214
THE 21st CENT MANAGER,On Line Class,MBA,660N,,,MBA MB,MBA MB,3,215
THE ANIMATED SHORT FILM,Marist Abroad,ART,209N,,,Communication and The Arts CO,School Communication Arts CO,3,221
ADV GIS,Lecture,ENSC,330L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Environmental Science', '230L', 'Undergraduate', 'D', '']]",Science SI,School of Science SI,3,218
PRLG INTERN I,Internship,PRLG,494N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Paralegal', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Political Science', '102L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,1,217
