section,instructor,meeting_times,campus,seat_cap,data_id,course_id
111,"DeCusatis, Casimer","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '09:30 AM', '10:45 AM', 'Lecture', 'Hancock', '0005', '01/21/2020', '05/15/2020')]",Marist College Campus,25,140204,39
125,"Stephens, Lisa","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist College Campus,1,140300,9
119,"Burke, Marcus","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '08:00 AM', '09:15 AM', 'Lecture', 'Dyson Building', '231', '01/21/2020', '05/15/2020')]",Marist College Campus,24,140247,10
113,"Fasolino, Babette","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '02:00 PM', '03:15 PM', 'Lecture', 'Lowell Thomas', '240', '01/21/2020', '05/15/2020')]",Marist College Campus,30,139944,31
902,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '02/03/2020', '03/13/2020')]",Marist - LDM Branch Campus,60,150658,33
111,"Tyce, Teresa","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '11:00 AM', '12:15 PM', 'Lecture', 'Music', '4001', '01/21/2020', '05/15/2020')]",Marist College Campus,10,139891,40
126,"Weisberg, Melinda","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist College Campus,5,140301,9
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist Abroad,0,139962,35
111,"Eckert, Lynn","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '09:30 AM', '10:45 AM', 'Lecture', 'Fontaine', '105', '01/21/2020', '05/15/2020')]",Marist College Campus,15,139277,41
120,"Nash, David","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '12:30 PM', '01:45 PM', 'Lecture', 'Dyson Building', '231', '01/21/2020', '05/15/2020')]",Marist College Campus,24,140246,10
700,"Carrizales, Tony","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'On-Line', 'None', 'None', '01/21/2020', '05/15/2020')]",On-Line,49,146475,42
114,"Ji, Qihao","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '02:00 PM', '03:15 PM', 'Lecture', 'Lowell Thomas', '013', '01/21/2020', '05/15/2020'), ('Friday', '03:30 PM', '04:45 PM', 'Lecture', 'Lowell Thomas', '013', '01/21/2020', '05/15/2020')]",Marist College Campus,30,138987,31
903,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '02/03/2020', '03/13/2020')]",Marist - LDM Branch Campus,60,150617,33
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist Abroad,0,147308,38
127,"Rivas, Pablo","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist College Campus,1,140304,9
200,"Canino, Jeffrey","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday', '06:30 PM', '09:00 PM', 'Lecture', 'Lowell Thomas', '017', '01/21/2020', '05/15/2020')]",Marist College Campus,27,140564,35
121,"Nash, David","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '09:30 AM', '10:45 AM', 'Lecture', 'Dyson Building', '231', '01/21/2020', '05/15/2020')]",Marist College Campus,24,140248,10
115,"Perisse, Joan","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Wednesday', '05:00 PM', '06:15 PM', 'Lecture', 'Lowell Thomas', '017', '01/21/2020', '05/15/2020')]",Marist College Campus,30,138988,31
904,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '02/03/2020', '03/13/2020')]",Marist - LDM Branch Campus,60,150620,33
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist Abroad,0,151840,43
128,"Checchi, Paula","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist College Campus,1,140308,9
111,"Andrews, Matthew","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Fontaine', '101', '01/21/2020', '05/15/2020')]",Marist College Campus,18,138935,44
111,"Ross, Jamie","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday', '09:30 AM', '12:15 PM', 'Lecture', 'Steel Plant', '117', '01/21/2020', '05/15/2020')]",Marist College Campus,30,139317,45
111,"Rettie, Christopher","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist College Campus,7,138884,46
122,"Dushi, Vilson","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Wednesday', '05:00 PM', '06:15 PM', 'Lecture', 'Lowell Thomas', '129', '01/21/2020', '05/15/2020')]",Marist College Campus,24,143554,10
711,"DeCusatis, Casimer","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'On-Line', 'None', 'None', '01/21/2020', '05/15/2020')]",On-Line,20,146634,39
116,"Perisse, Joan","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '05:00 PM', '06:15 PM', 'Lecture', 'Lowell Thomas', '240', '01/21/2020', '05/15/2020')]",Marist College Campus,30,139322,31
905,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '02/03/2020', '03/13/2020')]",Marist - LDM Branch Campus,60,150621,33
111,"Gaeke, Melissa","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist College Campus,0,140617,47
129,"Coleman, Ronald","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/21/2020', '05/15/2020')]",Marist College Campus,1,140312,9
