course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
CONTEMPORARY ARCHITECTURE,Marist Abroad,ARCH,120L,,,Communication and The Arts CO,School Communication Arts CO,3,158
INTERNSHIP IN ACCOUNTING,Internship,MSPA,602N,,,Professional Accountancy MA,Professional Accountancy MA,3,159
BUSINESS LAW II,Lecture,BUS,381N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '380N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,157
ACTING I,Lecture,ENG,227L,,,Liberal Arts LA,School of Liberal Arts LA,3,160
INTRO GLOBAL ISSUES,On Line Class,GBST,103L,,,Liberal Arts LA,School of Liberal Arts LA,3,161
MARIST ABROAD PRO,Lecture,MAP,306N,,,Registrar RG,Registrar RG,9,162
COMM/EVENT PLAN INTERNSHIP,Marist Abroad,CLDM,367L,,,Communication and The Arts CO,School Communication Arts CO,3,163
BASIC PSY FOUNDATIONS,Marist Abroad,PSYC,100L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,164
HIST OF INT DSGN,Marist Abroad,ARCH,140L,,,Communication and The Arts CO,School Communication Arts CO,3,165
LGL FOUND OF BUS,Lecture,BUS,382N,,,Management SM,School of Management SM,3,166
LITERATURE & NATURE,Lecture,ENG,232L,,,Liberal Arts LA,School of Liberal Arts LA,3,167
MAP ABROAD ELECTIVE,Marist Abroad,MAP,309L,,,Registrar RG,Registrar RG,1,168
INTERMEDIATE PIANO,Lecture,MUS,108N,,,Communication and The Arts CO,School Communication Arts CO,1,169
ROMAN CIV-MONUMNTS,Marist Abroad,ARCH,150L,,,Communication and The Arts CO,School Communication Arts CO,3,171
INTRO PSYCHOLOGY,Lecture,PSYC,101L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,170
SPORTING LONDON: IDENT & CULT,Marist Abroad,ICOM,160L,,,Communication and The Arts CO,School Communication Arts CO,3,172
